Symbol,Total Return %,CAGR %,Max Drawdown %,Sharpe,Win Rate %,Trades,Profit Factor
CCL,-24.13,-2.73,24.78,-1.64,14.29,7,0.25
YESBANK,-24.41,-2.76,29.35,-1.33,16.67,6,0.22
SHOPERSTOP,-24.47,-2.77,27.32,-2.19,0.0,5,
DEEPAKNTR,-24.89,-2.82,25.65,-2.17,20.0,5,0.06
NBCC,-25.36,-2.88,26.52,-2.12,0.0,4,
THYROCARE,-25.37,-2.89,27.91,-1.96,16.67,6,0.06
UNIONBANK,-25.91,-2.96,33.6,-1.61,28.57,7,0.11
RAIN,-26.14,-2.99,33.76,-1.21,33.33,9,0.29
PETRONET,-26.36,-3.02,28.7,-1.42,14.29,7,0.11
CANBK,-26.5,-3.03,29.36,-1.67,0.0,5,
JKLAKSHMI,-26.58,-3.05,36.38,-1.26,25.0,8,0.18
NH,-26.64,-3.05,28.74,-1.63,0.0,6,
ASTRAL,-27.75,-3.2,29.68,-1.43,12.5,8,0.01
AJANTPHARM,-27.96,-3.23,29.88,-1.96,16.67,6,0.23
SAIL,-28.2,-3.26,35.5,-1.81,16.67,6,0.03
BLISSGVS,-28.58,-3.31,34.89,-1.71,22.22,9,0.27
KNRCON,-28.99,-3.37,32.72,-1.75,0.0,7,
BATAINDIA,-29.88,-3.49,34.8,-1.43,0.0,7,
SRF,-30.3,-3.55,31.69,-1.59,0.0,7,
IGL,-30.55,-3.58,32.97,-2.33,0.0,5,
CONCOR,-30.7,-3.6,31.62,-1.64,14.29,7,0.03
RENUKA,-31.79,-3.76,31.79,-2.92,0.0,6,
ZEEL,-32.12,-3.8,37.47,-1.95,14.29,7,0.04
REPCOHOME,-32.83,-3.9,32.83,-1.76,14.29,7,0.14
ADANIPORTS,-33.42,-3.99,41.0,-1.4,20.0,10,0.22
JUSTDIAL,-35.32,-4.27,35.4,-2.05,0.0,6,
VMART,-36.67,-4.47,38.38,-1.87,22.22,9,0.03
ULTRACEMCO,-36.77,-4.48,43.58,-1.96,14.29,7,0.04
BIOCON,-37.19,-4.55,37.19,-1.52,0.0,8,
ICICIPRULI,-37.33,-4.63,37.95,-1.99,0.0,7,
