entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,symbol,return_pct_net
2021-10-21,2022-11-28,1198.949951171875,1990.699951171875,0.6603695168644275,403,ADANIGREEN,0.6577695168644274
2023-11-08,2024-11-06,946.6500244140625,1721.1500244140625,0.8181481857346211,364,ADANIGREEN,0.8155481857346211
2025-09-23,2026-01-27,1131.449951171875,799.0999755859375,-0.2937381147453435,126,ADANIGREEN,-0.2963381147453435
2016-08-26,2018-04-06,244.2115936279297,360.63153076171875,0.4767174866855891,588,ADANIPORTS,0.4741174866855891
2019-01-18,2019-02-26,381.5609436035156,309.1283874511719,-0.18983220732258502,39,ADANIPORTS,-0.192432207322585
2019-04-26,2019-09-19,374.3463134765625,346.00439453125,-0.07571042621496782,146,ADANIPORTS,-0.07831042621496782
2019-10-18,2019-12-20,403.17779541015625,355.94757080078125,-0.11714490516851823,63,ADANIPORTS,-0.11974490516851824
2020-08-21,2021-12-30,342.5301208496094,704.9962158203125,1.058202105180253,496,ADANIPORTS,1.055602105180253
2022-01-14,2022-02-18,759.3613891601562,708.1598510742188,-0.0674271023215517,35,ADANIPORTS,-0.07002710232155171
2022-04-06,2022-07-04,827.2571411132812,663.869384765625,-0.19750540458046356,89,ADANIPORTS,-0.20010540458046355
2022-08-25,2023-02-06,799.8097534179688,534.6277465820312,-0.3315563553741227,165,ADANIPORTS,-0.3341563553741227
2023-08-01,2024-11-22,755.207763671875,1126.498779296875,0.4916408880911871,479,ADANIPORTS,0.4890408880911871
2017-01-13,2017-06-16,7.230000019073486,5.510000228881836,-0.23789761903929646,154,ADANIPOWER,-0.24049761903929645
2017-12-07,2018-03-27,6.960000038146973,5.039999961853027,-0.2758620784153221,110,ADANIPOWER,-0.2784620784153221
2018-09-19,2020-03-06,5.860000133514404,8.819999694824219,0.5051193675544544,534,ADANIPOWER,0.5025193675544544
2020-12-02,2023-01-16,9.029999732971191,54.59000015258789,5.045404403863237,775,ADANIPOWER,5.0428044038632365
2023-08-02,2024-11-05,53.540000915527344,120.69000244140625,1.2542024724994816,461,ADANIPOWER,1.2516024724994816
2019-12-31,2020-03-18,102.69999694824219,49.45000076293945,-0.518500465118214,78,ABCAPITAL,-0.5211004651182141
2020-10-26,2021-10-12,66.0999984741211,108.55000305175781,0.6422088586621735,351,ABCAPITAL,0.6396088586621734
2022-01-12,2022-03-25,134.25,109.19999694824219,-0.1865922015028515,72,ABCAPITAL,-0.1891922015028515
2022-09-27,2023-12-19,108.3499984741211,164.75,0.520535323674691,448,ABCAPITAL,0.517935323674691
2024-03-11,2024-11-29,179.85000610351562,194.3300018310547,0.08051151090428578,263,ABCAPITAL,0.07791151090428577
2017-02-28,2017-10-27,155.6924591064453,146.5746612548828,-0.058562873911117024,241,ABFRL,-0.06116287391111702
2018-01-25,2018-02-19,164.6131134033203,149.23606872558594,-0.09341324248001383,25,ABFRL,-0.09601324248001383
2018-08-27,2019-08-14,206.8506622314453,193.19862365722656,-0.06599949174416216,352,ABFRL,-0.06859949174416216
2019-12-03,2020-04-22,217.49630737304688,120.20700073242188,-0.4473147512971594,141,ABFRL,-0.4499147512971594
2020-12-02,2022-06-21,164.0500030517578,234.60000610351562,0.430051824074025,566,ABFRL,0.427451824074025
2022-09-09,2023-01-30,324.95001220703125,250.10000610351562,-0.23034313984215946,143,ABFRL,-0.23294313984215945
2023-11-10,2025-01-06,216.60000610351562,265.54998779296875,0.2259925222073141,423,ABFRL,0.22339252220731412
2019-05-28,2019-08-02,198.487548828125,143.5717315673828,-0.2766713458096814,66,ADVENZYMES,-0.2792713458096814
2020-02-11,2020-03-12,163.16249084472656,112.23587036132812,-0.312122107352864,30,ADVENZYMES,-0.314722107352864
2020-07-08,2021-10-22,159.49803161621094,351.9001770019531,1.2062979300503605,471,ADVENZYMES,1.2036979300503605
2022-12-15,2023-02-23,291.2099609375,271.0021667480469,-0.06939252395212593,70,ADVENZYMES,-0.07199252395212594
2023-07-03,2024-12-30,272.11956787109375,337.06170654296875,0.23865295384651963,546,ADVENZYMES,0.23605295384651964
2025-08-13,2026-01-06,305.6313781738281,306.1789855957031,0.001791725133548126,146,ADVENZYMES,-0.0008082748664518739
2018-01-19,2018-05-17,947.1595458984375,638.7355346679688,-0.3256304733094466,118,AJANTPHARM,-0.3282304733094466
2019-01-15,2019-03-06,710.4708251953125,607.3873291015625,-0.145091807345378,50,AJANTPHARM,-0.14769180734537798
2019-11-01,2022-02-28,650.7698364257812,1079.9949951171875,0.6595652328461268,850,AJANTPHARM,0.6569652328461267
2022-09-13,2023-01-10,1314.3095703125,1104.20458984375,-0.1598595834760557,119,AJANTPHARM,-0.16245958347605569
2023-05-18,2025-02-25,1204.0062255859375,2533.60986328125,1.1043162480727642,649,AJANTPHARM,1.1017162480727642
2016-09-08,2017-02-03,554.015625,494.8988037109375,-0.10670605416419889,148,APLLTD,-0.10930605416419889
2018-01-31,2018-05-18,506.164306640625,415.3028564453125,-0.1795097935655582,107,APLLTD,-0.1821097935655582
2018-08-09,2019-03-18,535.630126953125,487.68878173828125,-0.08950457190963658,221,APLLTD,-0.09210457190963658
2019-11-13,2021-03-16,517.9713745117188,854.3511962890625,0.6494177831630991,489,APLLTD,0.646817783163099
2023-06-26,2025-01-27,604.6597900390625,914.6271362304688,0.5126309890250542,581,APLLTD,0.5100309890250542
2025-07-21,2025-12-02,1000.9200439453125,887.0078735351562,-0.1138074625433119,134,APLLTD,-0.1164074625433119
